ID,Tipo,SKU,Nome,Status,Entrada,Saída,Custo compra,Valor venda,Margem de lucro,Quantidade,Tag,Tamanho,Cor,Categoria,
94,shorts,BS-SO-PR-94-m,shorts alfaitaria deise preto com cinto,EM ESTOQUE,12/06/25,,"R$ 36,00","R$ 75,00","108,33%",1,,m,preto,Social,
95,shorts,BS-SO-CI-95-m,shorts alfaitaria deise cinza com cinto,EM ESTOQUE,12/06/25,,"R$ 24,00","R$ 60,00","150,00%",1,,m,cinza chumbo,Social,
96,blusa,BS-CA-PR-96-m,blusa canelada manga longa,EM ESTOQUE,12/06/2025,,"R$ 23,00","R$ 60,00","160,87%",2,,m,preta,Casual,
97,blusa ,BS-SO-PR-97-gg,blusa duna malu,EM ESTOQUE,12/06/25,,"R$ 30,00","R$ 75,00","150,00%",1,,gg,preta ,Social,
98,blusa,BS-SO-PR-98-m,blusa duna malu,EM ESTOQUE,12/06/25,,"R$ 30,00","R$ 75,00","150,00%",1,,m,preta,Social,
99,blusa,BS-CA-PR-99-g,blusa suplex  segunda pele,EM ESTOQUE,12/06/25,,"R$ 23,00","R$ 55,00","139,13%",1,,g,preta,Casual,
100,blusa,BS-CA-PR-100-p,blusa suplex  segunda pele,EM ESTOQUE,12/06/25,,"R$ 23,00","R$ 55,00","139,13%",1,,p,preta,Casual,
101,calça,BS-CA-PR-101-g,calça suplex power selma g,VENDIDO,12/06/25,,"R$ 51,00","R$ 90,00","76,47%",1,,g,preta,Casual,
102,camisa,BS-SO-PR-102-g,camisa listrada,EM ESTOQUE,,,"R$ 35,00","R$ 76,90","119,71%",1,,g,preta/branca,Social,
103,vestido,BS-CA-FL-103-g,vestido estampa floral tomara que caia,EM ESTOQUE,13/09/25,,"R$ 65,00","R$ 135,90","109,08%",2,,g,floral,Casual,
104,camiseta,BS-CA-PR-104-m/g,camiseta paris,EM ESTOQUE,13/09/25,,"R$ 25,00","R$ 64,90","159,60%",4,,m/g,preta/amarela/creme,Casual,
105,conjunto,BS-CA-CR-105-p,conjunto shorts/camisa crooped linho,EM ESTOQUE,13/09/25,,"R$ 33,00","R$ 119,90","263,33%",2,,p,creme/laranja,Casual,
106,conjunto,BS-CA-RO-106-p,conjunto shorts/camisa crooped ,EM ESTOQUE,13/09/25,,"R$ 33,00","R$ 99,90","202,73%",1,,p,rosa/branco,Casual,
107,vestido,BS-CA-MA-107-g,vestido ribana,EM ESTOQUE,13/09/25,,"R$ 50,00","R$ 159,90","219,80%",2,,g,marrom/verde,Casual,
108,conjunto,BS-CA-AZ-108-m/g,conjunto shorts/ blusa bordado,EM ESTOQUE,13/09/25,,"R$ 85,00","R$ 223,90","163,41%",4,,m/g,azul/branco/bege/preto,Casual,
109,calça,BS-CA-AM-109-unico,calça forrada com elastico,EM ESTOQUE,13/09/25,,"R$ 50,00","R$ 135,90","171,80%",2,,unico,amarela/vinho,Casual,
